Ocean trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEASURE,US dollars at current prices,PARTNER,World,FLOW,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,
          Australia,11143145965,632366513,1111771826,5975005.149,5059551017,1529347072,1660925,449750396,1077935751,4333481604,10629281598,654571241,1134825832,7612551.164,4709014478,1066201884,1018682,474154725,591028477,4123257496,10324780252,698339364,1134463731,8063332.848,4421895803,627243844,1500660,118259353,507483831,4062018021,8894699166,606850804,1004268284,7756009.559,3880406307,628368055,6512204,301078612,320777239,3395417761,8419446007,675002504,1060244077,7940259.959,3319337757,709545928,14086739,212055442,483403747,3356921409,14928990338,741983266,1236136743,9564242.153,9442276489,6881277195,4490417,6440729464,436057314,3499029598,9357651025,725327086,1299941491,11023179.85,3451802205,530430613,15591644,88295735,426543234,3869557063,9317510362,717484269,1252836820,10021097.35,3552787549,717358563,5485347,322151729,389721487,3784380627,9071624115,594476678,1306870873,10204912.84,3267844112,480410618,57451229,78377899,344581490,3892227539,
          Austria,5431680930,237673575,339623422,10636016.52,2375897969,131665127,..,8291551,123373576,2467849948,5797697168,277894386,392602181,17708822.61,2495846997,157744274,..,2941592,154802682,2613644782,6028916842,305859839,366313015,10979661.21,2634443646,127589898,..,3876782,123713116,2711320680,5258111731,260339500,305744416,12210562.42,2340892856,188650879,..,4835542,183815337,2338924397,5362234345,316907024,312777543,12788280.43,2337564383,114286799,..,3724302,110562497,2382197114,5784551075,326872837,471344698,13858560.23,2367638040,93054933,..,1231954,91822979,2604836940,6438425021,335083348,508263808,18723377.52,2589817786,23047690,..,3145118,19902572,2986536702,6346525838,330676981,494216677,19317088.93,2605876408,82384678,..,7773049,74611629,2896438684,6048124963,307374033,508195429,16796827.03,2335702325,42727362,..,876273,41851089,2880056349,
          Azerbaijan,418494385.1,4822858,11751132,2047957.3,215753166,13111419,..,4379047,8732372,184119271.8,491894580.6,5401506,13966739,1475331.8,290709661.2,46957700,..,36516081,10441619,180341342.6,476589046.3,5558233,12306432,1225629.601,298415489.4,82140574,3068,77383333,4754173,159083262.2,491674308.7,4989128,11021106,1044553.502,292581468.5,84266500,..,78632570,5633930,182038052.7,681365629.4,11683537,20767369,871443.1002,498448859.1,388007961,..,255797242,132210719,149594421.2,322600522.5,13503004,28305102,867711.5001,130205572.2,17104183,1439,7983529,9119215,149719132.8,408102634.2,11918224,30387976,1177889.7,202421566.3,23415065,1911,20156401,3256753,162196978.2,430451206.2,16255015,31689554,1663910.3,198234978.3,9400854,..,4923858,4476996,182607748.7,493222009.8,15348379,38614590,1171242.6,243682777.8,76760117,..,33293125,43466992,194405020.3,
          Bahamas,..,..,..,..,..,..,..,..,..,..,167484808,9566664,22477017,917732.6059,89570312.7,41765877,81517,3925477,37758883,44953081.68,192409732,14926762,21827663,800665.5042,111521411.2,66326282,90673,17246697,48988912,43333230.37,150710508.7,14676524,24419468,946763.1058,70635027.11,33900602,85830,11022339,22792433,40032726.53,156681392.6,16193895,23527606,932406.4054,78674209.41,40413748,745120,24028371,15640257,37353275.78,202954723.7,17626887,24987071,1808495.605,117285860.9,66303542,646111,41764239,23893192,41246409.26,202617419.7,25457229,28804949,2107589.804,94030799.45,34766023,61116,4580838,30124069,52216852.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
          Bahrain,..,..,..,..,..,..,..,..,..,..,303725650.3,15080043,24696393,1998608.904,146723047.7,35502524,552697,27050368,7899459,115227557.7,473637057.5,19110769,27355301,2191083.803,304769454.1,176539727,110360,143622571,32806796,120210449.6,586311180.9,19904572,28459612,1748093.304,405802596.4,264927624,89222,250928985,13909417,130396307.2,817523544.3,26168233,24027560,1877671.406,633659822.3,504516380,270541,496639663,7606176,131790257.6,928154511,39282343,29489981,2247943.51,684653674.2,460020158,480869,445044475,14494814,172480569.3,958982534.6,36788968,28996065,2783402.507,715016331,484289017,96062,467696330,16496625,175397768.2,707575538.1,40600982,31376528,2388840.105,478324726.7,319334343,12139,313943031,5379173,154884461.2,..,..,..,..,..,..,..,..,..,..,
          Bangladesh,2046570595,4072170,145262503,15023677.2,1672468821,1352341568,21787526,1303662583,26891459,209743423.7,1900130079,19683757,216731978,9795408.4,1286223062,1005021822,24652903,961625728,18743191,367695873.6,..,..,..,..,..,..,..,..,..,..,1969774956,36931851,262493902,6820743.799,1373029678,993822757,5935730,983096124,4790903,290498781,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
          Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75919984.27,8524961,24713807,792781.7994,16040392.18,2375091,126507,38612,2209972,25848042.29,92797152.32,12262862,26840902,825283.9042,23402618.52,629026,22606,100643,505777,29465485.89,
          Belarus,1414841744,295208000,215596800,4943840.005,414812856.9,5169500,..,1519500,3650000,484280247.3,1606932931,403973200,240822800,4689680.011,412889700.9,3986100,..,200900,3785200,544557549.8,1496759208,431190900,227448200,3303700.001,328176648.7,3897700,..,273400,3624300,506639759,1172930518,338632900,148839400,1696290,291295205.6,1667500,..,551600,1115900,392466722.5,1070202647,322602200,114648400,1426150,234741258.9,1878300,..,431000,1447300,396784638.4,1201385189,303543800,132025500,1338660,300254910,4528200,..,2175700,2352500,464222318.8,1223823032,283402700,139499200,1505440,308881754.9,2817400,..,405400,2412000,490533936.8,1316711473,282230800,156766200,1590010,364298960.7,3693000,..,370800,3322200,511825502.7,1231766587,304524600,143759200,1882650.001,279318564.5,3010100,2600,424400,2583100,502281572.8,
          Belgium,7625823307,1067441474,579158089,80912503.97,2629356047,420495338,..,290752605,129742733,3268955193,7995142039,1155936051,653382115,91004352.96,2314649579,203531971,..,149241590,54290381,3780169941,8804772185,1170778442,650487012,81501357.46,2765592613,514863696,..,489412043,25451653,4136412761,7609046008,948815557,550664655,65258630.47,2339130322,501762766,426,347510317,154252023,3705176843,11261001133,1048242680,628982325,63503299.26,4906707391,2940003972,414,430345568,2509657990,4613565438,10766956285,1156231830,1215140492,73517477.17,3195198653,973596066,9894673,938158795,25542598,5126867833,10859738791,1234783135,1309630124,83561746.9,2811909495,532479015,4097044,499050372,29331599,5419854291,11142785401,1163529799,1198863174,80117976.13,2577605219,322180004,16294962,260408026,45477016,6122669233,11345488875,1091578911,1263597618,78418028.85,2422717569,270546440,5422361,233547509,31576570,6489176748,
          Belize,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48446349.34,364465,22943759,312380.5,13360926.42,4015193,..,725973,3289220,11464818.42,51779347.99,401655,17960355,388118.7001,18307596.79,8034963,..,433953,7601010,14721622.5,41618942.61,389591,10778804,370370.2,15501722.94,5398382,..,1899326,3499056,14578454.47,40562827.72,241316,12726809,373380.9,13212008.95,2948476,..,926454,2022022,14009312.88,39408207.19,338716,11997688,565663.8,13335533.03,3554574,..,1516665,2037909,13170606.36,37701873.98,285389,10868841,608758.3001,13248716.11,2577777,..,577473,2000304,12690169.57,32110857.28,60598,9965881,493646.1999,10774421.68,1341697,..,296735,1044962,10816310.4,
