Ocean trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEASURE,US dollars at current prices,PARTNER,World,FLOW,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,
          Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,187852703.8,91447878,7858516,2157087.7,62174522.19,41491294,21600,41426574,43120,24214699.95,159851465.3,113768280,5767141,2484793.6,15753394.49,81226,1688,46873,32665,22077856.24,140996406.7,88777393,5677782,2491331.8,19102133.79,274396,40316,120823,113257,24947766.13,159597873.1,102938958,4557573,2297039.7,20171795.82,11664766,55,11597796,66915,29632506.58,153937920.8,102487253,6281992,2074353,11589270.59,1469259,..,1420739,48520,31505052.21,160180627.4,104136822,8513183,2325273.5,14224600.23,92048,7603,45855,38590,30980748.67,
          Bermuda,40676070.27,6646428,5337000,80414.19983,16867882.71,6979240,2267,345480,6631493,11744345.36,46553198.49,9114166,5705880,83610.29992,15795533.14,8668604,..,1215763,7452841,15854009.05,41352026.52,8795885,5022766,106585.9997,14291741.76,7960907,..,2465896,5495011,13135047.75,47601864.99,7968515,5159695,98584.89986,20850184.82,14876710,95056,3683249,11098405,13524885.27,49677601.45,10134631,5751653,94997.69985,21687775.61,13475727,..,4588031,8887696,12008544.14,62320472.03,11773177,7229821,113368.1998,29832464.8,20229479,..,1610245,18619234,13371641.04,51045698.97,12637974,7584101,123631.8999,16629687.12,6443703,5313,302035,6136355,14070304.94,65316213.71,12045568,7710138,191526.6009,18289631.68,4378987,715000,170402,3493585,27079349.42,52248866.58,8983652,7676407,154758.4995,22246102.97,13907085,335000,8251466,5320619,13187946.11,
          Bhutan,26522418.29,4282984,261485,256753.8,8979781.021,3860,..,1718,2142,12741414.47,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
          Bolivia (Plurinational State of),280288983,7654793,31490739,144802.2998,121677696,714055,5028,307916,401111,119320952.8,369444000.2,8376848,34434466,370177.5999,202891193.7,318672,6445,14883,297344,123371314.9,398095025.5,9705648,39156348,224867.8001,213490678.6,473779,27030,94357,352392,135517483.1,339707216.4,9786396,47250281,329845.4998,140152506.9,973401,6559,625835,341007,142188187,303104366.6,9413865,46136197,304570.6995,121510614.7,830048,12546,218413,599089,125739119.2,345279684.6,12307073,47667809,385869.2996,136167481.4,4135376,21167,2355191,1759018,148751451.9,469873224.4,12882310,52668123,368363.8994,166202759.8,1499415,1373,1005066,492976,237751667.7,357488815.1,13226378,53721918,480410.7985,123754578.6,3804550,5978,3630129,168443,166305529.7,275771089.3,9065681,56273680,467445.5991,71731124.3,223975,..,62288,161687,138233158.3,
          Bosnia and Herzegovina,287347379.5,9617991,97655017,2282486.001,49250925.02,1396073,..,282731,1113342,128540960.5,296111088.5,10488486,102378181,2177852.101,46570427.1,729580,..,509974,219606,134496142.3,379692469.4,10983951,117916255,1352208.101,83971349.01,606654,50,243529,363075,165468706.3,295712924.1,10830525,96229384,1984861,54306512.12,808508,337,281983,526188,132361642,302942203.1,14006503,98820818,1863316.401,52356689.27,598590,..,24184,574406,135894876.5,333941705.3,14273057,95136148,2140627.4,64604830.05,351467,..,31710,319757,157787042.8,360716760.7,15402981,108830762,2033333.2,70502891.54,423261,..,135315,287946,163946792.9,354534687.9,15608196,113790765,2343369.601,63167839.99,462954,..,125939,337015,159624517.4,360904968.1,16469825,109897212,1890835.301,57830396.8,421733,..,61680,360053,174816699,
          Botswana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,158167790.4,2198656,42543317,884458.1002,38180374.03,433396,7365,173713,252318,74360985.23,144181742,1991393,25699555,587438.4003,40378027.99,313908,1240,157280,155388,75525327.59,148265809.3,2391909,23141751,397506.6001,41755325.95,651102,1024,430764,219314,80579316.79,123871751.7,3218407,21436876,404431.7001,28842509.36,500516,39520,248826,212170,69969527.69,133422465.2,2868272,42661139,461884.0006,27707095.16,1640421,..,1409075,231346,59724075.01,150510428.6,3035704,45399327,350379.9008,30509510.95,745564,..,463546,282018,71215506.72,144187831.1,2885003,50322634,440753.7003,25663287.23,247745,439,112823,134483,64876153.16,
          Brazil,8393463030,1194749509,349030747,31820046.89,3442853829,284280760,54925,89567052,194658783,3375008898,9729311174,1357968922,433572613,26967203.7,4168253875,627733342,66691,477892824,149773827,3742548560,9538570866,1422943267,440612842,27366971.49,4114441012,879299721,..,721056650,158243071,3533206773,8310991409,1121655741,398938005,23107178.89,3880925735,1526254246,..,1363430205,162824041,2886364749,6972670945,1103062667,345093872,19240740.2,2965657604,878271502,..,853896958,24374544,2539616062,6218174594,1286758231,369230465,21196221.89,1991341938,126614383,..,61139118,65475265,2549647738,10548520076,1241635725,394547482,18383514.2,6002495342,3957680343,..,3905953403,51726940,2891458013,10678376012,1210938272,371241709,26183275.39,6022965842,3838076384,..,3783360189,54716195,3047046913,10150448376,859979910,405897666,31252089.7,5969876996,3980650086,..,3945627739,35022347,2883441715,
          Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,206979369.7,35874030,23525263,424934.3995,64465480.92,3626421,14333,791487,2820601,82689661.41,425996831.4,30732623,27122982,566234.0989,297388483.5,243977517,8216,212099968,31869333,70186508.77,398577508.8,28071892,29655454,593142.8986,273567421.2,219419816,12857,200111552,19295407,66689598.73,178419545.6,28035042,28063346,967801.7992,68172079.23,6892206,7260,4205068,2679878,53181276.53,244385697.6,30940962,55114951,1636821.899,94922185.02,1430666,18825,272899,1138942,61770777.69,367928621.9,36711923,54406302,1371381.2,159892709.8,4478691,20817,2145939,2311935,115546305.9,278123134.9,37534297,49647989,607569.0995,93064396.91,9583863,..,7382045,2201818,97268882.91,282404303.4,31667898,97732290,498283.9988,58586992.86,2118372,..,120242,1998130,93918838.58,
          Bulgaria,724146960.3,46912320,61225293,6136381.3,212825016.4,29979714,7884,21111653,8860177,397047949.6,816313402.9,54838598,69784174,4915392.2,238587362.5,16834983,730830,3335014,12769139,448187876.2,1057923772,61203681,69462638,4712386.899,446422118.5,50171374,53992,798017,49319365,476122947.4,813193465,65703429,69033922,4772095.9,243896895.7,12355931,33538,2742900,9579493,429787122.4,868278635.8,72876616,74093544,4915957.699,265676398.1,14058122,..,810439,13247683,450716120,960047791.6,86611854,78716525,5615216.5,271215363.4,32544929,..,19825446,12719483,517888832.6,1079907819,89803979,93380416,5288419.2,321578574.5,37926737,15363,14342061,23569313,569856430.4,1084579133,93509925,87378233,5343714.5,342339935,28614499,..,614499,28000000,556007325.3,1079880021,83986730,92549879,4084690.299,331785415.3,21028760,..,5213680,15815080,567473306.5,
          Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86466017.06,10313127,3654697,2694135.2,26569061.11,77571,..,123,77448,43234996.75,103269319.3,11027735,4152158,3599972.9,30095138.65,11568,..,3366,8202,54394314.73,111339600.2,13170001,2768582,2075771.4,38279307.2,8508,..,3914,4594,55045938.57,126021460.9,15447096,3550633,1868219.5,36661991.82,304549,..,272190,32359,68493520.55,130899114.8,18152024,4349457,1820538.4,46258126.53,41201,..,37064,4137,60318968.89,142124955.5,22626670,4687450,2581877.2,39720630.81,247034,..,246869,165,72508327.51,
          Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15122126.11,102839,273620,12021.9,2741675.884,4850,..,10,4840,11991969.33,14650997.37,41768,153944,69029.5,3621801.227,6675,80,6595,..,10764454.64,16960381.59,21770,394742,51731.00001,3469768.294,16186,5574,413,10199,13022370.3,16977926.17,24535,651960,89839.90001,2674198.746,1323,..,1305,18,13537392.52,18876153.44,8735,807364,94671.40002,5599973.853,2559829,..,100447,2459382,12365409.19,21049358.72,312795,1544153,166780.601,2766295.188,30965,1814,24723,4428,16259334.93,29066170.73,208793,3483120,735324.8083,8709232.476,1037993,..,1037683,310,15929700.45,
          Cabo Verde,..,..,..,..,..,..,..,..,..,..,21917503.51,3378360,3582967,213207.7028,7190166.408,2592622,4513,1668776,919333,7552802.394,40146936.48,3076638,1835558,217314.4025,22378335.68,12086390,2872,797426,11286092,12639090.4,19981875.58,2595858,2774103,151510.6018,7955679.609,3229123,..,1192497,2036626,6504724.368,21113170.6,3819303,3172487,203605.2025,5945741.083,633299,20149,207075,406075,7972034.314,27421691.36,4736744,2168289,146694.2018,10317990.41,1494435,3676,40000,1450759,10051973.75,29004508.31,5406941,3827934,272785.0034,10322714.46,2388084,17353,45665,2325066,9174133.853,36410049.39,5533001,3871524,163855.7018,16648034.17,10320382,507664,9019600,793118,10193634.52,43686170.64,13764,3241637,154301.3016,31282015.13,11507380,..,10641209,866171,8994453.216,
          Cambodia,225123513,668075,96484273,41259.60021,37745617.76,4060165,95786,3481673,482706,90184287.6,238154311.7,1045680,74548802,52395.30002,67254362.69,3360341,39167,3048058,273116,95253071.71,290118352.7,2546212,67738367,99507.29999,79168174.42,6666908,..,2642141,4024767,140566092,259148064,1908890,66134601,1079593.399,63515366.15,12768400,..,12100073,668327,126509613.5,333338453.3,2574913,88218693,1917059.702,88773039.16,4319432,..,1709361,2610071,151854748.4,396310116.8,2502611,120677863,1366973.801,102770897.9,9193122,..,7865087,1328035,168991771.1,455422562.9,1668063,135592468,3464045.901,115272143.6,4445115,..,2144576,2300539,199425842.4,552392396.2,3078395,153011011,2651178.401,171141124.5,12347629,260000,2519412,9568217,222510687.3,559159288.5,5320880,166104850,1950886.801,156096303.3,28264734,..,26850564,1414170,229686368.4,
          Cameroon,..,..,..,..,..,..,..,..,..,..,452286018.2,273855217,20005838,7370252.197,72321150.99,4008538,56264,2437363,1514911,78733560.03,644382894.6,268538452,31774518,7320915.8,248147362.4,125780176,..,124649938,1130238,88601646.41,448367917.6,253565551,31535455,6261741.5,61832005.65,1969503,..,910999,1058504,95173164.48,434264044.1,274066669,25107429,5670238.801,53004721.05,5285656,..,4047967,1237689,76414986.2,373113208.1,186113940,26315325,6241961.1,78142779.36,20223235,..,19860938,362297,76299202.68,439841327.8,245796753,32967079,6336521.6,73324565.41,21430955,303597,20779203,348155,81416408.82,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
          Canada,16456573642,1525947277,1183131963,49198174.92,7373099856,775394381,3621809,81479905,690292667,6325196370,16890890062,1642164770,1242543556,49910277.2,7696481846,1232395355,9697010,509469656,713228689,6259789613,17165713229,1701091012,1301515064,65015960.6,7475195974,926190213,890288,186991123,738308802,6622895218,16106715305,1604670526,1252084173,47806652.6,7094427994,1056052290,72045329,283581529,700425432,6107725959,15395269538,1700532105,1235512360,43997767.69,6421508254,874101071,8550411,242662773,622887887,5993719052,16920543935,1688634987,1621574286,62742068.8,7451967286,1626435582,91881025,633558926,900995631,6095625307,17935600588,1751478961,1649940761,87404818.1,8125920338,1724115100,54351644,489510079,1180253377,6320855710,18028928729,1804142421,1696683792,102759436.7,7949144768,1255481465,18705483,380924391,855851591,6476198311,16816738291,1573586777,1779880687,74538155.29,7354198080,1539997020,118568137,746939204,674489679,6034534592,
          Central African Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22244894.53,..,1579425,64472.5,8725405.556,41983,..,6817,35166,11875591.48,21429460.1,3095951,2101872,55907,6583658.687,55294,..,55294,..,9592071.412,15888980.08,1998289,1351410,108486.5,4356598.046,239409,..,495,238914,8074196.539,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
          Chile,2554187274,27435295,645194442,1736855.49,1166000685,244425327,15985100,195660553,32779674,713819997.2,2622814288,38031609,520558704,2267776.986,1221478725,205453839,109044,173045844,32298951,840477472.8,2455353902,52865671,475756233,1928564.386,1063707959,190952533,55119,146667018,44230396,861095474.7,2373517794,44866474,500854990,1298425.589,996890860.2,189000560,11039,157026456,31963065,829607044,2308657228,40799700,490949839,1543435.587,940278946.8,290965664,21144,259677513,31267007,835085307.1,2363444276,57543384,534965729,1302957.394,954233096.8,177641621,9845,152843195,24788581,815399109.1,2571085497,68692066,629880936,1906588.797,935936260.7,149096604,78145,115443143,33575316,934669645.4,2504994834,81363014,571336301,1386562.497,963662384.9,133985464,8954775,75062724,49967965,887246571.2,2504183183,73592182,590050097,1547224.598,868324965,176934206,2687,140459436,36472083,970668714,
          China,37422388813,5453202759,2214725452,129993742.4,13400661791,1783589974,14592450,1483997327,285000197,16223805069,39574142702,6011468084,2205203543,175079265.2,14117840169,2034897272,5153070,1731816195,297928007,17064551641,40206104221,6501571547,1821763241,158383593.7,13688887099,1318015458,62737292,831997619,423280547,18035498740,37352518296,5933307087,2290373580,112106242.9,11799731615,1003454009,2715738,517267060,483471211,17216999771,37110649545,6475309837,1788543164,86255028.19,11512108238,1924411825,719095,1379576272,544116458,17248433277,42218246660,7561877565,3086120294,149527275,11835319918,1765833226,1905700,1615842778,148084748,19585401607,48730097982,9906798130,3234180753,180283531.9,12876744276,2056460252,1658,1898690676,157767918,22532091291,50796336940,10866371027,3062209143,181714807.3,12345538733,2001673503,272042,1898995199,102406262,24340503230,50520657512,8781345144,3160435791,154700730.1,12057726859,2174441036,..,2093995997,80445039,26366448989,
"          China, Hong Kong SAR",12202622906,2633870772,749179147,6248234.427,3024012286,429694473,2648797,148917667,278128009,5789312467,12532919296,2660849943,776330391,7500052.545,3150331636,393693576,7001397,156182315,230509864,5937907273,13227601297,2644926273,665993017,19969911.42,3497708956,473597611,16198052,178222848,279176711,6399003139,12688005896,2604358054,642205512,9893097.875,3195392565,367136639,29297537,96967632,240871470,6236156667,12724924553,2767680436,692418316,5678900.603,3087561555,484546878,16327544,174400778,293818556,6171585346,13182411096,2592115036,704792314,7015468.61,3279316247,546106810,41248382,342521283,162337145,6599172030,13898441058,2686331089,803461652,8244023.321,3131510057,328110303,29991890,148460919,149657494,7268894237,13231313800,2328688678,769644677,40485534.96,2992381169,414255382,15850046,147977991,250427345,7100113741,13737858316,2018934875,715280916,17732491,2793401814,433850488,1318241,116647747,315884500,8192508220,
"          China, Macao SAR",232438833.8,70594894,28882552,645435.2058,33924400.25,7078633,..,..,7078633,98391552.35,..,..,..,..,..,..,..,..,..,..,361137221.1,90858391,38286620,289295.7991,73800009.66,737840,..,418506,319334,157902904.6,376585254.2,99685941,42338468,761897.7,53605553.58,3489312,..,1504363,1984949,180193394,318509567.8,93138857,42513444,559712.4006,35698251.16,2828,..,..,2828,146599303.2,..,..,..,..,..,..,..,..,..,..,382592780.9,115750008,55744707,870878.507,24435945.37,95985,..,..,95985,185791242,457278498,127023548,57340653,968298.603,24856698.43,..,..,..,..,247089300,659203320.8,83978796,44684358,1219630.707,22160940.15,57094,..,10389,46705,507159596,
"          China, Taiwan Province of",..,..,..,..,..,..,..,..,..,..,4826843806,416079404,412047165,86087005.43,1721996195,393790548,..,41065256,352725292,2190634037,5496377878,760405953,441425324,77901374.81,1837738629,366785362,..,9784199,357001163,2378906598,5274630438,808434720,426944623,80698140.6,1651447566,247153139,..,24944016,222209123,2307105388,5705721036,849939893,417725422,65316799.05,1996119824,473610592,..,295961673,177648919,2376619099,5889391884,873818216,583694960,58237106.81,1762572309,214045313,..,36517080,177528233,2611069293,6368696068,954649709,659932566,63424348.6,1837793372,299192280,..,57793127,241399153,2852896072,6683554088,1011872203,641533802,63032273.99,2080990660,352131397,..,28593188,323538209,2886125148,7260378583,1030412064,649048885,58387066.1,2340208252,422227451,..,145429007,276798444,3182322316,
          Colombia,2034930844,96438046,230733108,4041413.601,966803935.8,294137577,9664075,276114737,8358765,736914340.4,2125969609,145099406,251292491,4129926.401,943031940.1,289070321,13967178,258551177,16551966,782415845.9,2257623298,149906400,285983365,4622744.2,939182322.1,230200201,7101313,202069660,21029228,877928466.8,2170284049,136930067,264648373,4583358.801,929760252.5,318871411,2028500,309865824,6977087,834361997.5,1649395155,139319386,266697045,3534834.4,545567891.8,95455346,2169206,80213808,13072332,694275997.7,1631395223,121786599,269002540,3085256.601,534694005.3,45251769,21666,39025882,6204221,702826822.2,1833717399,146279445,330139637,3907033.6,563331065,42585223,..,19992674,22592549,790060218.8,1866214250,139102308,335336986,4074390.2,564756496.7,23240699,..,17513459,5727240,822944069.5,1638464612,119954613,378380610,4402926.1,418721342.8,15982001,..,12219276,3762725,717005119.8,
          Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6164541.992,349745,2895832,274857.6955,1306057.371,95491,..,..,95491,1338049.925,4559028.017,548341,2363268,166556.9973,786623.3567,34530,338,18858,15334,694238.663,4706990.273,761837,2236299,208990.2966,834607.6125,56687,22458,3685,30544,665256.3636,6139650.97,286163,2526328,191938.2969,1240658.73,31219,3395,9477,18347,1894562.944,5665117.741,879422,2852388,226168.3965,747123.5626,36930,5989,5135,25806,960015.782,6596480.715,838081,3622360,263541.8956,1134869.818,22605,6301,4122,12182,737628.0013,8134814.387,1757860,3924920,243930.696,796227.065,46905,5249,37356,4300,1411876.626,
          Congo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6788184006,76049993,7179209,1294443.7,6629122190,6538205339,8075,6528819892,9377372,74538170.37,6541831162,60728447,6598914,1031892,6391786382,6280448902,9234,6217643447,62796221,81685526.31,8130824617,47233192,4703005,1415758.9,8003607475,7946347996,1671736,7888975176,55701084,73865187.02,1595611821,68343891,6362906,3419348.2,1465705942,1401353940,373,1397411503,3942064,51779733.83,1343050025,64176625,7265416,1030550.5,1220921071,1184351366,10320008,1161607090,12424268,49656362.58,549337776.3,75779832,7015269,1017762,428559644.5,383702613,211027,382485102,1006484,36965268.79,390434187.8,71956649,8090034,1344530.901,281395517.3,258620761,3054718,255452604,113439,27647456.63,
"          Congo, Dem. Rep. of the",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,475933395.9,139753267,46539533,5144489.1,118761506.8,4912200,..,3327787,1584413,165734600,315787996,88007777,25836767,5530568.994,82458548.18,2665763,..,2040232,625531,113954334.8,251123699.7,68742880,22467716,4686306.8,67939439.84,1274750,8999,579178,686573,87287357.08,309228088.5,73859990,24437241,4406924.7,98928480.78,4065881,..,3740808,325073,107595452,396140088.7,51521168,22107161,3318655.5,132097903.8,6456099,..,5467206,988893,187095200.4,280651771.4,43544050,19495295,4619689.9,108293379.8,3086944,18377,2711176,357391,104699356.7,
          Costa Rica,1181644248,30510458,410616768,2868885.6,388491890.9,195933069,95501,175148719,20688849,349156245.4,915157732.1,34006076,219252227,3783961.499,266028808.8,48801427,508784,45287821,3004822,392086658.8,685311051.7,36030901,96337396,2822902.901,176994202.4,5127005,119230,416674,4591101,373125649.4,704508070.9,37170643,108397399,3192505.501,212986072.1,4642444,129818,499174,4013452,342761451.3,695831732.8,38519327,126992137,2974197.701,173606429.2,5448958,3315,2287062,3158581,353739641.9,730669775.8,47876902,177048358,3488455.501,136445432.2,3994855,15687,1474090,2505078,365810628,816367990.2,37386909,164733315,3378301.4,225637586.6,46310910,12252,21479961,24818697,385231878.2,704949099.7,33857526,159007533,4139257.301,121548412.8,6014125,55083,946500,5012542,386396370.7,704485807.8,47234945,157213232,3390416.5,108473698.4,3722649,381521,663339,2677789,388173516,
          Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1809068534,309491903,32883301,8588267.5,1326980927,1240165341,40304,1234675396,5449641,131124136.2,826906134,326570208,26808101,7059335.099,314673243.3,224585598,358169,220462133,3765296,151795246.6,1274711643,399059067,31978022,8530600.8,708979129.2,614489267,..,592691855,21797412,126164823.7,957265725.7,459757277,30967102,6784143.098,316968690,207434041,438480,196825354,10170207,142788513.6,727184173.5,441633571,33544398,8064323.2,99625484.58,11303028,79477,875671,10347880,144316396.7,..,..,..,..,..,..,..,..,..,..,
          Croatia,1050251240,86145450,82574698,5844521.503,529800505.1,378098931,33300,169102726,208962905,345886065,822921548.1,80974496,85857440,7392630.602,302650061.1,125826574,..,970282,124856292,346046920.4,847559414.7,91766011,88954613,4639222.202,319531620.3,170608919,..,47874788,122734131,342667948.2,787466113,93991213,96225797,5364941.104,266293676.9,114333179,47029,1810916,112475234,325590485,810667229.7,106401913,99684519,5001545.905,245413036.1,83443809,226590,2810187,80407032,354166215.6,983377447.2,117908809,146327823,5119716.502,321136989.3,130878108,917710,4318164,125642234,392884109.3,1197966877,133140929,177634722,7834017.203,425376436,222029249,642934,10033383,211352932,453980773.1,1310906662,144796904,182530351,6097505.403,504606295.5,301701597,392041,23440370,277869186,472875606.1,1408570879,110077539,182034996,3858497.704,602627031.1,404985949,484883,203356322,201144744,509972815.5,
          Cyprus,275131208.5,40746317,63143955,1091692.701,60648092.52,28915191,33091,12380325,16501775,109501151.3,248672861.5,35315949,60321562,1068696.498,47786168.4,13550259,..,3812546,9737713,104180485.7,1747866639,42359734,63275672,1157934.197,1533263894,1501840594,10786866,723523313,767530415,107809405.3,1710567997,40558042,60472977,1029202.798,1513952217,1491394238,1265390,1384604171,105524677,94555557.91,2148088755,48454595,60705698,634714.3983,1939063623,1909336701,12207391,1134568644,762560666,99230124.41,2174386130,50850740,71172037,890564.2969,1940370008,1897760466,2272965,1450488538,444998963,111102780.4,2562321888,50655765,78752510,1773935.196,2309979561,2251789140,13753920,1589692617,648342603,121160116.8,1517958607,57746376,71278489,1241238.394,1262853785,1216087268,3752147,1121507993,90827128,124838719.4,1318976163,40891821,72823781,1585466.297,1061044758,1007958446,21881,657744987,350191578,142630336.5,
          Czechia,4531794903,145489729,213538478,22337389.31,1679857086,12491159,..,2446278,10044881,2470572221,4809143001,182646856,215587999,35428734.41,1720926212,18610031,701,2302599,16306731,2654553200,5289695719,203579137,228319374,19602293.71,1949247486,11815493,..,2202460,9613033,2888947429,4776737112,189512790,195243089,19413083.11,1765598272,13170387,..,2095216,11075171,2606969878,5012258452,215446285,202856201,18424194.31,1805415675,14989530,..,2171448,12818082,2770116097,5710939735,239626925,323255489,22931013.71,1999684806,14316650,..,900575,13416075,3125441502,6495270243,254484902,371150391,23100925.71,2314633739,19894843,17102,250331,19627410,3531900285,6617095217,241950603,385857621,25923145.2,2242713330,21696357,..,1595382,20100975,3720650518,6428796811,245841035,421141022,18905754.11,2101763690,22126528,60,3018859,19107609,3641145309,
          Denmark,5173866657,1100589690,936013723,16137852.79,1477121490,535727354,9147333,402403783,124176238,1644003901,7259244256,1355231262,918672966,27107154.29,3118073956,2134962258,4134997,1534361417,596465844,1840158917,8106257878,1496919140,1028999167,16396169.38,3598397792,2646737978,56687478,2266420181,323630319,1965545609,6766470916,1319329353,959259638,15443736.78,2819840612,1929995700,23755414,1751879112,154361174,1652597576,6282010211,1535592541,869531564,12190406.99,2090971642,1201090994,7861342,1143892912,49336740,1773724057,7826690049,1711837957,1025175931,16302391.98,3196369771,2249678486,37388023,1627028103,585262360,1877003998,9957245700,1678886206,1184343654,17316663.58,5091663887,4086752555,129759965,3455489603,501502987,1985035289,7737931300,1710620921,1142679256,13236504.67,2820148178,1769516351,42259621,1485881291,241375439,2051246441,7363193016,1651852510,1096068115,10259807.37,2402499827,1250850313,67518267,1090200125,93131921,2202512757,
          Dominican Republic,681624883.6,91958096,77425858,2142114.7,142691318,4929272,168056,2454170,2307046,367407496.9,635221124.7,79504385,75081073,2819108.501,112969456.1,5871401,375181,3254894,2241326,364847102,665561218.9,90531210,67292574,3123818.001,109210585.5,4036424,150070,2415187,1471167,395403031.4,783298880.2,90381629,77634346,3238157.401,181868532.5,19514251,97900,16616972,2799379,430176215.3,929628356.5,99408381,91362111,2527854.201,218113587.2,16368623,220587,12891595,3256441,518216423.1,891531526.6,110168263,175037276,3893543.603,144279545,3370073,288881,1360552,1720640,458152899,974776682.5,121842418,191780315,3642436.102,182126844.8,4986175,74354,1062674,3849147,475384668.5,961766754.1,122717402,151759708,3778557.202,170334514.4,4720434,104038,1594625,3021771,513176572.5,1000012194,118491181,156968063,3618966.502,178213406.5,7136307,214923,3005645,3915739,542720576.6,
