,country_name,marine_protection_percent,biodiversity_percent,FAOSTAT,Aqua_Production,Fishland,Hours,Total subsidies (USD 2018)
0,Afghanistan,,,6.62,,,117.53222222222222,
1,Albania,,68.69272727272727,1.2704444444444445,,,7237.54,6613051.0
2,Algeria,,76.38545454545455,12.4025,,,,51563511.0
3,American Samoa,8.68,14.31,,,,,
4,Andorra,,,,,,,
5,Angola,,66.58,73.08166666666666,,,32110.206666666665,1883821.0
6,Antigua and Barbuda,,28.94636363636364,0.5816666666666667,,,,
7,Argentina,36.744166666666665,40.837272727272726,90.59,3219.9768181818185,764230.9585454545,412975.36555555556,86845934.0
8,Armenia,,,5.051,,,,
9,Australia,20.337500000000002,61.345454545454544,29.205000000000002,87951.93418181819,165548.1122090909,74991.45666666667,12218004.0
10,Austria,,,1.842,3494.590272727273,,,
11,Azerbaijan,,,0.49333333333333335,,,23.29111111111111,
12,Bahamas,,20.69,1.62075,,,,0.0
13,Bahrain,,0.0,,,,458.53222222222223,0.0
14,Bangladesh,,34.46090909090909,403.85033333333337,2040933.5454545454,,,35088039.0
15,Barbados,,2.85,0.32416666666666666,,,,2301463.0
16,Belarus,,,6.598000000000001,,,,
17,Belgium,34.13666666666667,94.01,3.116875,177.27272727272728,21484.67918181818,123393.37999999999,5142151.0
18,Belize,,30.486363636363635,17.24811111111111,,,8403.79111111111,0.0
19,Benin,,0.0,5.819999999999999,,,,0.0
20,Bhutan,,,,,,,
21,Bolivia,,,,,,28.162222222222223,
22,Bosnia and Herzegovina,,,1.14825,,,,
23,Botswana,,,0.257,,,,
24,Brazil,10.036666666666667,63.091818181818184,141.58088888888886,533571.4926363636,513300.5384545455,68098.12777777779,6181967.0
25,Brunei,,,,,,9.713333333333333,
26,Bulgaria,7.235,99.65,2.3416666666666663,,,14306.943333333333,6787536.0
27,Burkina Faso,,,10.156,,,,
28,Burundi,,,20.334999999999997,,,,
29,Cambodia,,43.948181818181816,82.50144444444445,,,,0.0
30,Cameroon,,,27.058999999999997,,,10275.995555555555,0.0
