Indicator 3 Positive,"Total marine protected areas as share of exclusive economic zone, %",,Share of Subsidies to SSF,,"Marine protected area designated with IUCN management objectives I-III which generally preclude commercial fishing and other extractive industries, as share of exclusive economic zone, %",,Growth rate MPAs,,Bonus points,,Indicator 3 Negative,Overfishing Index,,Fuel subsidies,,Thrawling,,,Indicator 2,Total commitment score,Indicator 1,Total vulnerability score,,Indicator 3,Total policies and action score
United States,2,Somalia,3,United States,2,France,1,Bulgaria,0.2,,British Virgin Islands,0,Seychelles,-3,Cameroon,-3,,,Cabo Verde,0,CUBA,-1,214,"Bonaire, Sint Eustatius and Saba",0
American Samoa,1,South Africa,1,American Samoa,1,French Guiana,1,Burkina Faso,0,,Brunei Darussalam,0,Sierra Leone,1,Canada,-3,,,Central African Republic,0,CYPRUS,1,215,Bosnia and Herzegovina,0.5
Anguilla,1,Sudan,3,Anguilla,1,French Polynesia,3,Burundi,0,,Bulgaria,-1,Somalia,0,Central African Republic,0,,,Chad,1,DENMARK,0,162,Bosnia Herzg,0
Argentina,3,Tanzania,3,Argentina,1,French Southern and Antarctic Lands,3,Cabo Verde,0.2,,Burkina Faso,0,South Africa,-3,Chile,-3,,,Chile,0,DJIBOUTI,-1,216,Botswana,1
Aruba,1,Togo,3,Bermuda,1,Georgia,1,Cambodia,0,,Burundi,0,Sudan,1,Colombia,0,,,China,1,DOMINICA,0.714285714,37,Bouvet Island,0.428571429
Bermuda,1,Tunisia,1,Bonaire,2,Germany,1,Cameroon,0,,Cabo Verde,-1,Tanzania,0,Comoros,1,,,Columbia,0,DOMINICAN REPUBLIC,1,38,Brazil,1.666666667
Bonaire,2,Bahrain,2,Bouvet Island,1,Gibraltar,1,Canada,0.2,,Cambodia,0,Togo,-3,Costa Rica,0,,,Comoros,0,ECUADOR,-1,39,British Indian Ocean Territory,0.75
Bouvet Island,1,Bangladesh,3,Brazil,2,Greece,1,Cayman Islands,0,,Cameroon,0,Tunisia,-3,Croatia,-3,,,Cook Islands,0,"EGYPT, ARAB REP.",-1,40,British Virgin Islands,1
Brazil,2,Brunei Darsm,2,British Indian Ocean Territory,1,Greenland,1,Central African Republic,0,,Canada,2,Bahrain,0,Cuba,1,,,Costa Rica,1,EL SALVADOR,0,301,Brunei,1
British Indian Ocean Territory,3,Cambodia,1,British Virgin Islands,1,Guadeloupe,1,Chad,0,,Cayman Islands,0,Bangladesh,-3,Cyprus,-3,,,Côte d'Ivoire,1,EQUATORIAL GUINEA,-1,133,Brunei Darsm,0
British Virgin Islands,1,China,1,Bulgaria,1,Guam,1,Chagos Archipelago,0,,Central African Republic,0,Brunei Darsm,0,Cyprus No Mans Area,-3,,,Croatia,0,ERITREA,0,217,Brunei Darussalam,-0.666666667
Bulgaria,1,Cyprus,1,Cayman Islands,1,Heard Island and McDonald Islands,1,Channel Islands,0,,Chad,0,Cambodia,0,Czech Republic,0,,,Cuba,1,ESTONIA,0,41,Bulgaria,0
Cayman Islands,1,Hong Kong,1,China (People's Republic of),1,Iceland,1,Chile,0.2,,Chagos Archipelago,0,China,-3,Denmark,-3,,,Cyprus,0,FIJI,-1,218,Burkina Faso,0
China (People's Republic of),1,India,2,Christmas Islands,1,India,1,"China, Hong Kong SAR",0,,Chile,-1,Cyprus,-3,Djibouti,1,,,Czechia,0,FINLAND,-1,219,Burundi,0
Christmas Islands,1,Indonesia,2,Cocos (Keeling) Islands,1,Indonesia,1,"China, Macao SAR",0,,"China, Hong Kong SAR",0,Hong Kong,0,Dominica,1,,,Democratic Republic of the Congo,1,FRANCE,0,229,Côte d'Ivoire,-1
Cocos (Keeling) Islands,1,Iran,2,Cook Islands,1,Ireland,2,"China, mainland",0.1,,"China, Macao SAR",0,India,-3,Dominican Republic,0,,,Denmark,,GABON,-1,220,Cabo Verde,0.25
Cook Islands,3,Iraq,1,Croatia,1,Israel,1,Christmas Island,0,,"China, mainland",0,Indonesia,-3,Ecuador,0,,,Djibouti,4,"GAMBIA, THE",-1.5,134,Cambodia,0
Croatia,1,Israel,3,Cyprus,1,Italy,1,Cocos (Keeling) Islands,0,,Christmas Island,0,Iran,0,Egypt,0,,,Dominica,0,GEORGIA,0,99,Cameroon,0.285714286
Cyprus,1,Japan,2,Curacao,1,Japan,1,Colombia,0.1,,Cocos (Keeling) Islands,0,Iraq,0,El Salvador,0,,,Dominican Republic,1,GERMANY,0,2,Canada,0
Curacao,1,Jordan,2,Faeroe Islands,1,Korea,1,Comoros,0,,Colombia,-1,Israel,0,Equatorial Guinea,1,,,Ecuador,0,GHANA,0.375,100,Cape Verde,0.75
Faeroe Islands,1,Korea D P Rp,2,Falkland Islands (Malvinas),1,Latvia,1,Congo,"-0,1",,Comoros,-1,Japan,-3,Eritrea,0,,,Egypt,1,GREECE,-1,42,Cayman Islands,0
Falkland Islands (Malvinas),1,Korea Rep,1,French Guiana,1,Lithuania,1,Cook Islands,0.2,,Congo,0,Jordan,0,Estonia,-3,,,El Salvador,0,GRENADA,0,221,Central African Republic,0
French Guiana,1,Kuwait,1,French Polynesia,1,Malta,3,Costa Rica,0.2,,Cook Islands,0,Korea D P Rp,0,Ethiopia,0,,,Equatorial Guinea,0,GUATEMALA,0,222,Chad,0
French Polynesia,1,Lebanon,2,French Southern and Antarctic Lands,1,Martinique,1,Côte d'Ivoire,0.2,,Costa Rica,0,Korea Rep,-3,Faroe Islands,-3,,,Eritrea,2,GUINEA,-1,223,Chagos Archipelago,1
French Southern and Antarctic Lands,3,Malaysia,2,Georgia,1,Mayotte,1,Croatia,0,,Côte d'Ivoire,0,Kuwait,0,Federated States of Micronesia,1,,,Estonia,0,GUINEA-BISSAU,0,3,Chile,-1
Georgia,1,Maldives,1,Gibraltar,1,Mexico,3,Cuba,0,,Croatia,-1,Lebanon,0,Fiji,1,,,Eswatini,0,GUYANA,0,135,China,1
Gibraltar,3,Myanmar,1,Greenland,2,Netherlands,1,Curaçao,0,,Cuba,2,Malaysia,-3,Finland,-3,,,Ethiopia,0,HAITI,-1,43,China (People's Republic of),0
Greenland,1,Oman,2,Guadeloupe,1,New Caledonia,1,Cyprus,0.2,,Curaçao,0,Maldives,-3,France,-3,,,EUU,0,HONDURAS,-1,224,"China, Hong Kong SAR",0
Guadeloupe,3,Pakistan,2,Guam,1,New Zealand,1,Czechia,0.2,,Cyprus,1,Myanmar,0,Gabon,0,,,Fidji,2,"HONG KONG SAR, CHINA",0,225,"China, Macao SAR",0
Guam,2,Philippines,1,Heard Island and McDonald Islands,2,Niue,3,Democratic People's Republic of Korea,0,,Czechia,0,Oman,-3,Gambia,1,,,Finland,0,ICELAND,-0.75,226,"China, mainland",0.75
Heard Island and McDonald Islands,2,Qatar,2,India,1,Norfolk Island,3,Democratic Republic of the Congo,0,,Democratic People's Republic of Korea,0,Pakistan,0,Georgia,-3,,,France,0,INDIA,0,44,Christmas Islands,0.75
India,1,Saudi Arabia,1,Indonesia,1,Northern Mariana Islands,1,Denmark,0.2,,Democratic Republic of the Congo,0,Philippines,-3,Germany,-3,,,Gabon,1,INDONESIA,-0.714285714,45,Cocos (Keeling) Islands,0.857142857
Indonesia,1,Singapore,1,Guernsey,1,Norway,1,Djibouti,0,,Denmark,0,Qatar,0,Ghana,-3,,,The Gambia,1,"IRAN, ISLAMIC REP.",0,4,Colombia,0.75
Guernsey,2,Sri Lanka,2,Jersey,1,Peru,1,Dominica,0,,Djibouti,0,Saudi Arabia,0,Greece,-3,,,Georgia,1,IRELAND,0,101,Comoros,0.666666667
Jersey,1,Syria,2,Saint Martin,1,Pitcairn,3,Dominican Republic,0.1,,Dominica,0,Singapore,0,Greenland,-3,,,Germany,0,ISRAEL,0,298,Congo Dem Rep,1.75
Saint Martin,3,Taiwan,1,Malta,1,Poland,1,Ecuador,0.2,,Dominican Republic,0,Sri Lanka,-3,Grenada,0,,,Ghana,0,ITALY,-1,46,Cook Islands,0.285714286
Malta,1,Thailand,1,Martinique,1,Portugal,2,Egypt,0,,Ecuador,0,Syria,0,Guam,0,,,Greece,0,JAMAICA,0,5,Costa Rica,0
Martinique,3,Timor Leste,1,Mayotte,1,Puerto Rico,1,El Salvador,0.1,,Egypt,0,Taiwan,-3,Guatemala,0,,,Grenada,1,JAPAN,-1,103,Cote d'Ivoire,0.142857143
